match,row,kills,deaths,assists,damage,dmg_taken,healing,mvp,hero_id,hero_name,role
1,2,23,6,43,9425,12204,49353,False,1025001,Cloak & Dagger,3
1,3,25,4,1,16992,38406,192,False,1022001,Captain America,1
1,4,41,10,2,36399,13236,0,False,1024001,Hela,2
1,5,18,6,32,13854,18572,33798,False,1050001,Invisible Woman,3
1,6,40,9,0,41172,12083,0,True,1017001,Human Torch,2
1,7,30,8,4,31974,56512,3645,False,1042001,Peni Parker,1
1,8,21,10,3,32760,45914,4040,True,1042001,Peni Parker,1
1,9,10,15,2,14590,54365,0,False,1011001,Hulk,1
1,10,17,12,1,40638,18586,0,False,1045001,Namor,2
1,11,5,12,15,3177,11283,36991,False,1023001,Rocket Raccoon,3
1,12,15,7,17,14241,16642,35340,False,1025001,Cloak & Dagger,3
1,13,23,14,0,29066,13748,0,False,1024001,Hela,2
2,2,7,5,15,4976,4967,9374,False,1047001,Jeff The Land Shark,3
2,3,13,5,5,7766,14327,805,False,1042001,Peni Parker,1
2,4,14,6,0,12510,17190,0,True,1039001,Thor,1
2,5,9,5,0,7712,3100,0,False,1038001,Scarlet Witch,2
2,6,13,7,8,4541,5476,9442,False,1031001,Luna Snow,3
2,7,13,4,0,7221,4195,0,False,1029001,Magik,2
2,8,12,8,0,9063,6749,0,False,1029001,Magik,2
2,9,24,4,0,10749,10124,1054,True,1052001,Iron Fist,2
2,10,2,6,19,983,3086,12883,False,1047001,Jeff The Land Shark,3
2,11,16,4,3,9442,19507,0,False,1027001,Groot,1
2,12,16,4,2,11738,11468,0,False,1053001,Emma Frost,1
2,13,15,7,17,5066,5704,10802,False,1050001,Invisible Woman,3
3,2,9,14,19,20083,21040,18511,False,1050001,Invisible Woman,3
3,3,22,9,14,23795,40391,0,False,1051001,The Thing,1
3,4,12,15,18,13428,14736,13671,False,1046001,Adam Warlock,3
3,5,31,11,1,28737,12146,0,False,1038001,Scarlet Witch,2
3,6,19,9,34,11608,12121,45000,False,1025001,Cloak & Dagger,3
